Location Name,Location Type,Value Category,Value Name,Secondary Value Name,METRIC
"Indianapolis-Carmel-Anderson, IN Metro Area",,Organizations 2017,"Civic, political, professional or international",,0.06
"Indianapolis-Carmel-Anderson, IN Metro Area",,Organizations 2017,Educational or youth service,,0.06
"Indianapolis-Carmel-Anderson, IN Metro Area",,Organizations 2017,Environmental or animal care,,0.02
"Indianapolis-Carmel-Anderson, IN Metro Area",,Organizations 2017,Hospital or other health,,0.06
"Indianapolis-Carmel-Anderson, IN Metro Area",,Organizations 2017,Public safety,,
"Indianapolis-Carmel-Anderson, IN Metro Area",,Organizations 2017,Religious,,0.18
"Indianapolis-Carmel-Anderson, IN Metro Area",,Organizations 2017,Social or community service,,0.34
"Indianapolis-Carmel-Anderson, IN Metro Area",,Organizations 2017,"Sport, hobby, cultural or arts",,0.24
"Indianapolis-Carmel-Anderson, IN Metro Area",,Organizations 2017,Other,,0.04
"Jacksonville, FL Metro Area",,Volunteer Rate,2017,,0.27
"Jacksonville, FL Metro Area",,Volunteering by Age Group - Rates (2017),16-19,,
"Jacksonville, FL Metro Area",,Volunteering by Age Group - Rates (2017),20-24,,
"Jacksonville, FL Metro Area",,Volunteering by Age Group - Rates (2017),16-24,,
"Jacksonville, FL Metro Area",,Volunteering by Age Group - Rates (2017),25-34,,
"Jacksonville, FL Metro Area",,Volunteering by Age Group - Rates (2017),35-44,,
"Jacksonville, FL Metro Area",,Volunteering by Age Group - Rates (2017),45-54,,
"Jacksonville, FL Metro Area",,Volunteering by Age Group - Rates (2017),55-64,,
"Jacksonville, FL Metro Area",,Volunteering by Age Group - Rates (2017),65-74,,
"Jacksonville, FL Metro Area",,Volunteering by Age Group - Rates (2017),75 and over,,
"Jacksonville, FL Metro Area",,Volunteering by Age Group - Rates (2017),65 and over,,
"Jacksonville, FL Metro Area",,Volunteering by Race - Rates (2017),Black,,
"Jacksonville, FL Metro Area",,Volunteering by Ethnicity - Rates (2017),Latino,,
"Jacksonville, FL Metro Area",,Volunteering by Ethnicity - Rates (2017),Non-Latino,,0.28
"Jacksonville, FL Metro Area",,Volunteering by Gender - Rates (2017),Male,,
"Jacksonville, FL Metro Area",,Volunteering by Gender - Rates (2017),Female,,
"Jacksonville, FL Metro Area",,Volunteering by Veterans - Rates (2017),Veteran,,
"Jacksonville, FL Metro Area",,Volunteering by Veterans - Rates (2017),Non-Veteran,,0.29
"Jacksonville, FL Metro Area",,Volunteering by Generations 2017,Gen Z,,
"Jacksonville, FL Metro Area",,Volunteering by Generations 2017,Millennials,,
"Jacksonville, FL Metro Area",,Volunteering by Generations 2017,Gen X,,
"Jacksonville, FL Metro Area",,Volunteering by Generations 2017,Boomers,,
"Jacksonville, FL Metro Area",,Volunteering by Generations 2017,Long Civic and Silent Generations,,
"Jacksonville, FL Metro Area",,Organizations 2017,"Civic, political, professional or international",,
"Jacksonville, FL Metro Area",,Organizations 2017,Educational or youth service,,
"Jacksonville, FL Metro Area",,Organizations 2017,Environmental or animal care,,
"Jacksonville, FL Metro Area",,Organizations 2017,Hospital or other health,,
"Jacksonville, FL Metro Area",,Organizations 2017,Public safety,,
"Jacksonville, FL Metro Area",,Organizations 2017,Religious,,
"Jacksonville, FL Metro Area",,Organizations 2017,Social or community service,,
"Jacksonville, FL Metro Area",,Organizations 2017,"Sport, hobby, cultural or arts",,
"Kansas City, MO-KS Metro Area",,Volunteering by Age Group - Rates (2017),16-19,,
"Kansas City, MO-KS Metro Area",,Volunteering by Age Group - Rates (2017),20-24,,
"Kansas City, MO-KS Metro Area",,Volunteering by Age Group - Rates (2017),16-24,,
"Kansas City, MO-KS Metro Area",,Volunteering by Age Group - Rates (2017),25-34,,
"Kansas City, MO-KS Metro Area",,Volunteering by Age Group - Rates (2017),35-44,,
"Kansas City, MO-KS Metro Area",,Volunteering by Age Group - Rates (2017),45-54,,
"Kansas City, MO-KS Metro Area",,Volunteering by Age Group - Rates (2017),55-64,,
"Kansas City, MO-KS Metro Area",,Volunteering by Age Group - Rates (2017),65-74,,
"Kansas City, MO-KS Metro Area",,Volunteering by Age Group - Rates (2017),75 and over,,
"Kansas City, MO-KS Metro Area",,Volunteering by Age Group - Rates (2017),65 and over,,
"Kansas City, MO-KS Metro Area",,Volunteering by Race - Rates (2017),White,,0.40
"Kansas City, MO-KS Metro Area",,Volunteering by Race - Rates (2017),Black,,
"Kansas City, MO-KS Metro Area",,Volunteering by Ethnicity - Rates (2017),Latino,,
"Kansas City, MO-KS Metro Area",,Volunteering by Ethnicity - Rates (2017),Non-Latino,,0.38
"Kansas City, MO-KS Metro Area",,Volunteering by Gender - Rates (2017),Male,,0.33
"Kansas City, MO-KS Metro Area",,Volunteering by Gender - Rates (2017),Female,,0.41
"Kansas City, MO-KS Metro Area",,Volunteering by Veterans - Rates (2017),Veteran,,
"Kansas City, MO-KS Metro Area",,Volunteering by Veterans - Rates (2017),Non-Veteran,,0.38
"Kansas City, MO-KS Metro Area",,Volunteering by Generations 2017,Gen Z,,
"Kansas City, MO-KS Metro Area",,Volunteering by Generations 2017,Millennials,,
"Kansas City, MO-KS Metro Area",,Volunteering by Generations 2017,Gen X,,0.50
"Kansas City, MO-KS Metro Area",,Volunteering by Generations 2017,Boomers,,0.33
"Kansas City, MO-KS Metro Area",,Volunteering by Generations 2017,Long Civic and Silent Generations,,
"Kansas City, MO-KS Metro Area",,Organizations 2017,"Civic, political, professional or international",,0.03
"Kansas City, MO-KS Metro Area",,Organizations 2017,Educational or youth service,,0.20
"Kansas City, MO-KS Metro Area",,Organizations 2017,Environmental or animal care,,0.04
"Kansas City, MO-KS Metro Area",,Organizations 2017,Hospital or other health,,0.04
"Kansas City, MO-KS Metro Area",,Organizations 2017,Public safety,,
"Kansas City, MO-KS Metro Area",,Organizations 2017,Religious,,0.20
"Kansas City, MO-KS Metro Area",,Organizations 2017,Social or community service,,0.28
"Kansas City, MO-KS Metro Area",,Organizations 2017,"Sport, hobby, cultural or arts",,0.18
"Kansas City, MO-KS Metro Area",,Organizations 2017,Other,,0.03
"Las Vegas-Henderson-Paradise, NV Metro Area",,Volunteer Rate,2017,,0.21
"Las Vegas-Henderson-Paradise, NV Metro Area",,Volunteering by Age Group - Rates (2017),16-19,,
"Las Vegas-Henderson-Paradise, NV Metro Area",,Volunteering by Age Group - Rates (2017),20-24,,
"Las Vegas-Henderson-Paradise, NV Metro Area",,Volunteering by Age Group - Rates (2017),16-24,,
"Las Vegas-Henderson-Paradise, NV Metro Area",,Volunteering by Age Group - Rates (2017),25-34,,
"Las Vegas-Henderson-Paradise, NV Metro Area",,Volunteering by Age Group - Rates (2017),35-44,,0.25
"Las Vegas-Henderson-Paradise, NV Metro Area",,Volunteering by Age Group - Rates (2017),45-54,,0.20
"Las Vegas-Henderson-Paradise, NV Metro Area",,Volunteering by Age Group - Rates (2017),55-64,,
"Las Vegas-Henderson-Paradise, NV Metro Area",,Volunteering by Age Group - Rates (2017),65-74,,
"Las Vegas-Henderson-Paradise, NV Metro Area",,Volunteering by Age Group - Rates (2017),75 and over,,
"Las Vegas-Henderson-Paradise, NV Metro Area",,Volunteering by Age Group - Rates (2017),65 and over,,0.22
"Las Vegas-Henderson-Paradise, NV Metro Area",,Volunteering by Race - Rates (2017),White,,0.23
"Las Vegas-Henderson-Paradise, NV Metro Area",,Volunteering by Race - Rates (2017),Black,,
"Las Vegas-Henderson-Paradise, NV Metro Area",,Volunteering by Ethnicity - Rates (2017),Latino,,0.22
"Las Vegas-Henderson-Paradise, NV Metro Area",,Volunteering by Ethnicity - Rates (2017),Non-Latino,,0.20
"Las Vegas-Henderson-Paradise, NV Metro Area",,Volunteering by Gender - Rates (2017),Male,,0.18
"Las Vegas-Henderson-Paradise, NV Metro Area",,Volunteering by Gender - Rates (2017),Female,,0.23
"Las Vegas-Henderson-Paradise, NV Metro Area",,Volunteering by Veterans - Rates (2017),Veteran,,
"Las Vegas-Henderson-Paradise, NV Metro Area",,Volunteering by Veterans - Rates (2017),Non-Veteran,,0.19
"Las Vegas-Henderson-Paradise, NV Metro Area",,Volunteering by Generations 2017,Gen Z,,
"Las Vegas-Henderson-Paradise, NV Metro Area",,Volunteering by Generations 2017,Millennials,,0.17
"Las Vegas-Henderson-Paradise, NV Metro Area",,Volunteering by Generations 2017,Gen X,,0.22
"Las Vegas-Henderson-Paradise, NV Metro Area",,Volunteering by Generations 2017,Boomers,,0.21
"Las Vegas-Henderson-Paradise, NV Metro Area",,Volunteering by Generations 2017,Long Civic and Silent Generations,,
"Las Vegas-Henderson-Paradise, NV Metro Area",,Organizations 2017,"Civic, political, professional or international",,0.05
"Las Vegas-Henderson-Paradise, NV Metro Area",,Organizations 2017,Educational or youth service,,0.09
"Las Vegas-Henderson-Paradise, NV Metro Area",,Organizations 2017,Environmental or animal care,,0.02
"Las Vegas-Henderson-Paradise, NV Metro Area",,Organizations 2017,Hospital or other health,,0.08
"Las Vegas-Henderson-Paradise, NV Metro Area",,Organizations 2017,Public safety,,0.02
"Las Vegas-Henderson-Paradise, NV Metro Area",,Organizations 2017,Religious,,0.24
"Las Vegas-Henderson-Paradise, NV Metro Area",,Organizations 2017,Social or community service,,0.21
"Las Vegas-Henderson-Paradise, NV Metro Area",,Organizations 2017,"Sport, hobby, cultural or arts",,0.23
"Las Vegas-Henderson-Paradise, NV Metro Area",,Organizations 2017,Other,,0.07
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Volunteer Rate,2017,,0.24
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Volunteering by Age Group - Rates (2017),16-19,,
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Volunteering by Age Group - Rates (2017),20-24,,0.21
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Volunteering by Age Group - Rates (2017),16-24,,0.23
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Volunteering by Age Group - Rates (2017),25-34,,0.19
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Volunteering by Age Group - Rates (2017),35-44,,0.27
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Volunteering by Age Group - Rates (2017),45-54,,0.33
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Volunteering by Age Group - Rates (2017),55-64,,0.21
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Volunteering by Age Group - Rates (2017),65-74,,0.24
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Volunteering by Age Group - Rates (2017),75 and over,,0.15
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Volunteering by Age Group - Rates (2017),65 and over,,0.20
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Volunteering by Race - Rates (2017),White,,0.26
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Volunteering by Race - Rates (2017),Black,,
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Volunteering by Ethnicity - Rates (2017),Latino,,0.20
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Volunteering by Ethnicity - Rates (2017),Non-Latino,,0.27
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Volunteering by Gender - Rates (2017),Male,,0.21
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Volunteering by Gender - Rates (2017),Female,,0.27
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Volunteering by Veterans - Rates (2017),Veteran,,
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Volunteering by Veterans - Rates (2017),Non-Veteran,,0.24
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Volunteering by Generations 2017,Gen Z,,
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Volunteering by Generations 2017,Millennials,,0.19
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Volunteering by Generations 2017,Gen X,,0.31
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Volunteering by Generations 2017,Boomers,,0.23
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Volunteering by Generations 2017,Long Civic and Silent Generations,,0.17
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Organizations 2017,"Civic, political, professional or international",,0.04
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Organizations 2017,Educational or youth service,,0.24
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Organizations 2017,Environmental or animal care,,0.05
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Organizations 2017,Hospital or other health,,0.03
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Organizations 2017,Public safety,,0.01
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Organizations 2017,Religious,,0.20
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Organizations 2017,Social or community service,,0.20
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Organizations 2017,"Sport, hobby, cultural or arts",,0.19
"Los Angeles-Long Beach-Anaheim, CA Metro Area",,Organizations 2017,Other,,0.03
"Louisville/Jefferson County, KY-IN Metro Area",,Volunteer Rate,2017,,0.31
"Louisville/Jefferson County, KY-IN Metro Area",,Volunteering by Age Group - Rates (2017),16-19,,
"Louisville/Jefferson County, KY-IN Metro Area",,Volunteering by Age Group - Rates (2017),20-24,,
"Louisville/Jefferson County, KY-IN Metro Area",,Volunteering by Age Group - Rates (2017),16-24,,
"Louisville/Jefferson County, KY-IN Metro Area",,Volunteering by Age Group - Rates (2017),25-34,,
"Louisville/Jefferson County, KY-IN Metro Area",,Volunteering by Age Group - Rates (2017),35-44,,
"Louisville/Jefferson County, KY-IN Metro Area",,Volunteering by Age Group - Rates (2017),45-54,,
"Louisville/Jefferson County, KY-IN Metro Area",,Volunteering by Age Group - Rates (2017),55-64,,
"Louisville/Jefferson County, KY-IN Metro Area",,Volunteering by Age Group - Rates (2017),65-74,,
"Louisville/Jefferson County, KY-IN Metro Area",,Volunteering by Age Group - Rates (2017),75 and over,,
"Louisville/Jefferson County, KY-IN Metro Area",,Volunteering by Age Group - Rates (2017),65 and over,,
"Louisville/Jefferson County, KY-IN Metro Area",,Volunteering by Race - Rates (2017),White,,0.28
"Louisville/Jefferson County, KY-IN Metro Area",,Volunteering by Race - Rates (2017),Black,,
"Louisville/Jefferson County, KY-IN Metro Area",,Volunteering by Ethnicity - Rates (2017),Latino,,
"Louisville/Jefferson County, KY-IN Metro Area",,Volunteering by Ethnicity - Rates (2017),Non-Latino,,0.32
"Louisville/Jefferson County, KY-IN Metro Area",,Volunteering by Gender - Rates (2017),Male,,0.29
"Louisville/Jefferson County, KY-IN Metro Area",,Volunteering by Gender - Rates (2017),Female,,0.33
"Louisville/Jefferson County, KY-IN Metro Area",,Volunteering by Veterans - Rates (2017),Veteran,,
"Louisville/Jefferson County, KY-IN Metro Area",,Volunteering by Veterans - Rates (2017),Non-Veteran,,0.30
"Louisville/Jefferson County, KY-IN Metro Area",,Volunteering by Generations 2017,Gen Z,,
"Louisville/Jefferson County, KY-IN Metro Area",,Volunteering by Generations 2017,Millennials,,
"Louisville/Jefferson County, KY-IN Metro Area",,Volunteering by Generations 2017,Gen X,,
"Louisville/Jefferson County, KY-IN Metro Area",,Volunteering by Generations 2017,Boomers,,0.25
"Louisville/Jefferson County, KY-IN Metro Area",,Volunteering by Generations 2017,Long Civic and Silent Generations,,
"Louisville/Jefferson County, KY-IN Metro Area",,Organizations 2017,"Civic, political, professional or international",,
"Louisville/Jefferson County, KY-IN Metro Area",,Organizations 2017,Educational or youth service,,
"Louisville/Jefferson County, KY-IN Metro Area",,Organizations 2017,Environmental or animal care,,
"Louisville/Jefferson County, KY-IN Metro Area",,Organizations 2017,Hospital or other health,,
"Louisville/Jefferson County, KY-IN Metro Area",,Organizations 2017,Public safety,,
"Louisville/Jefferson County, KY-IN Metro Area",,Organizations 2017,Religious,,
"Louisville/Jefferson County, KY-IN Metro Area",,Organizations 2017,Social or community service,,
"Louisville/Jefferson County, KY-IN Metro Area",,Organizations 2017,"Sport, hobby, cultural or arts",,
"Louisville/Jefferson County, KY-IN Metro Area",,Organizations 2017,Other,,
"Memphis, TN-MS-AR Metro Area",,Volunteer Rate,2017,,0.34
"Memphis, TN-MS-AR Metro Area",,Volunteering by Age Group - Rates (2017),16-19,,
"Memphis, TN-MS-AR Metro Area",,Volunteering by Age Group - Rates (2017),20-24,,
"Memphis, TN-MS-AR Metro Area",,Volunteering by Age Group - Rates (2017),16-24,,
"Memphis, TN-MS-AR Metro Area",,Volunteering by Age Group - Rates (2017),25-34,,
"Memphis, TN-MS-AR Metro Area",,Volunteering by Age Group - Rates (2017),35-44,,
"Memphis, TN-MS-AR Metro Area",,Volunteering by Age Group - Rates (2017),45-54,,
"Memphis, TN-MS-AR Metro Area",,Volunteering by Age Group - Rates (2017),55-64,,
"Memphis, TN-MS-AR Metro Area",,Volunteering by Age Group - Rates (2017),65-74,,
"Memphis, TN-MS-AR Metro Area",,Volunteering by Age Group - Rates (2017),75 and over,,
"Memphis, TN-MS-AR Metro Area",,Volunteering by Age Group - Rates (2017),65 and over,,
"Memphis, TN-MS-AR Metro Area",,Volunteering by Race - Rates (2017),White,,0.39
"Memphis, TN-MS-AR Metro Area",,Volunteering by Race - Rates (2017),Black,,0.29
"Memphis, TN-MS-AR Metro Area",,Volunteering by Ethnicity - Rates (2017),Latino,,
"Memphis, TN-MS-AR Metro Area",,Volunteering by Ethnicity - Rates (2017),Non-Latino,,0.35
"Memphis, TN-MS-AR Metro Area",,Volunteering by Gender - Rates (2017),Male,,0.27
"Memphis, TN-MS-AR Metro Area",,Volunteering by Gender - Rates (2017),Female,,0.41
"Memphis, TN-MS-AR Metro Area",,Volunteering by Veterans - Rates (2017),Veteran,,
"Memphis, TN-MS-AR Metro Area",,Volunteering by Veterans - Rates (2017),Non-Veteran,,0.35
"Memphis, TN-MS-AR Metro Area",,Volunteering by Generations 2017,Gen Z,,
"Memphis, TN-MS-AR Metro Area",,Volunteering by Generations 2017,Millennials,,
"Memphis, TN-MS-AR Metro Area",,Volunteering by Generations 2017,Gen X,,
"Memphis, TN-MS-AR Metro Area",,Volunteering by Generations 2017,Boomers,,
"Memphis, TN-MS-AR Metro Area",,Volunteering by Generations 2017,Long Civic and Silent Generations,,
"Memphis, TN-MS-AR Metro Area",,Organizations 2017,"Civic, political, professional or international",,
"Memphis, TN-MS-AR Metro Area",,Organizations 2017,Educational or youth service,,
"Memphis, TN-MS-AR Metro Area",,Organizations 2017,Environmental or animal care,,
"Memphis, TN-MS-AR Metro Area",,Organizations 2017,Hospital or other health,,
"Memphis, TN-MS-AR Metro Area",,Organizations 2017,Public safety,,
"Memphis, TN-MS-AR Metro Area",,Organizations 2017,Religious,,
"Memphis, TN-MS-AR Metro Area",,Organizations 2017,Social or community service,,
"Memphis, TN-MS-AR Metro Area",,Organizations 2017,"Sport, hobby, cultural or arts",,
"Memphis, TN-MS-AR Metro Area",,Organizations 2017,Other,,
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Volunteer Rate,2017,,0.19
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Volunteering by Age Group - Rates (2017),16-19,,
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Volunteering by Age Group - Rates (2017),20-24,,
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Volunteering by Age Group - Rates (2017),16-24,,
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Volunteering by Age Group - Rates (2017),25-34,,0.18
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Volunteering by Age Group - Rates (2017),35-44,,0.24
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Volunteering by Age Group - Rates (2017),45-54,,0.21
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Volunteering by Age Group - Rates (2017),55-64,,0.19
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Volunteering by Age Group - Rates (2017),65-74,,
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Volunteering by Age Group - Rates (2017),75 and over,,
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Volunteering by Age Group - Rates (2017),65 and over,,0.15
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Volunteering by Race - Rates (2017),White,,0.18
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Volunteering by Race - Rates (2017),Black,,0.21
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Volunteering by Ethnicity - Rates (2017),Latino,,0.12
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Volunteering by Ethnicity - Rates (2017),Non-Latino,,0.25
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Volunteering by Gender - Rates (2017),Male,,0.18
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Volunteering by Gender - Rates (2017),Female,,0.20
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Volunteering by Veterans - Rates (2017),Veteran,,
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Volunteering by Veterans - Rates (2017),Non-Veteran,,0.18
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Volunteering by Generations 2017,Gen Z,,
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Volunteering by Generations 2017,Millennials,,0.20
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Volunteering by Generations 2017,Gen X,,0.25
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Volunteering by Generations 2017,Boomers,,0.17
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Volunteering by Generations 2017,Long Civic and Silent Generations,,
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Organizations 2017,"Civic, political, professional or international",,0.03
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Organizations 2017,Educational or youth service,,0.20
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Organizations 2017,Environmental or animal care,,0.06
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Organizations 2017,Hospital or other health,,0.08
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Organizations 2017,Public safety,,0.01
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Organizations 2017,Religious,,0.30
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Organizations 2017,Social or community service,,0.16
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Organizations 2017,"Sport, hobby, cultural or arts",,0.15
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",,Organizations 2017,Other,,0.03
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Volunteer Rate,2017,,0.45
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Volunteering by Age Group - Rates (2017),16-19,,
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Volunteering by Age Group - Rates (2017),20-24,,
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Volunteering by Age Group - Rates (2017),16-24,,
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Volunteering by Age Group - Rates (2017),25-34,,
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Volunteering by Age Group - Rates (2017),35-44,,
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Volunteering by Age Group - Rates (2017),45-54,,
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Volunteering by Age Group - Rates (2017),55-64,,
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Volunteering by Age Group - Rates (2017),65-74,,
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Volunteering by Age Group - Rates (2017),75 and over,,
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Volunteering by Age Group - Rates (2017),65 and over,,
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Volunteering by Race - Rates (2017),White,,0.45
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Volunteering by Race - Rates (2017),Black,,
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Volunteering by Ethnicity - Rates (2017),Latino,,
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Volunteering by Ethnicity - Rates (2017),Non-Latino,,0.44
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Volunteering by Gender - Rates (2017),Male,,0.42
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Volunteering by Gender - Rates (2017),Female,,0.47
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Volunteering by Veterans - Rates (2017),Veteran,,
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Volunteering by Veterans - Rates (2017),Non-Veteran,,0.45
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Volunteering by Generations 2017,Gen Z,,
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Volunteering by Generations 2017,Millennials,,
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Volunteering by Generations 2017,Gen X,,
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Volunteering by Generations 2017,Boomers,,
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Volunteering by Generations 2017,Long Civic and Silent Generations,,
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Organizations 2017,"Civic, political, professional or international",,0.01
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Organizations 2017,Educational or youth service,,0.14
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Organizations 2017,Environmental or animal care,,0.04
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Organizations 2017,Hospital or other health,,0.05
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Organizations 2017,Public safety,,
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Organizations 2017,Religious,,0.18
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Organizations 2017,Social or community service,,0.33
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Organizations 2017,"Sport, hobby, cultural or arts",,0.20
"Milwaukee-Waukesha-West Allis, WI Metro Area",,Organizations 2017,Other,,0.05
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",,Volunteer Rate,2017,,0.46
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",,Volunteering by Age Group - Rates (2017),16-19,,
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",,Volunteering by Age Group - Rates (2017),20-24,,
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",,Volunteering by Age Group - Rates (2017),16-24,,
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",,Volunteering by Age Group - Rates (2017),25-34,,
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",,Volunteering by Age Group - Rates (2017),35-44,,
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",,Volunteering by Age Group - Rates (2017),45-54,,
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",,Volunteering by Age Group - Rates (2017),55-64,,0.45
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",,Volunteering by Age Group - Rates (2017),65-74,,
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",,Volunteering by Age Group - Rates (2017),75 and over,,
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",,Volunteering by Age Group - Rates (2017),65 and over,,0.42
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",,Volunteering by Race - Rates (2017),White,,0.49
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",,Volunteering by Race - Rates (2017),Black,,
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",,Volunteering by Ethnicity - Rates (2017),Latino,,
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",,Volunteering by Ethnicity - Rates (2017),Non-Latino,,0.47
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",,Volunteering by Gender - Rates (2017),Male,,0.41
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",,Volunteering by Gender - Rates (2017),Female,,0.52
